title,is_multiple,choices,correct_choice,solution
 정보처리 시스템에 관한 다음 설명 중 가장 옳은 것은?,no, 집중처리 시스템은 초기의 정보처리 형태로 컴퓨터 통신 기술이 발전하기 전에 쓰이던 시스템이다. ||  오프라인 시스템은 중앙처리장치의 직접적인 제어를 받아 데이터를 바로 처리하는 시스템이다. ||  분산처리 시스템은 조직 전체에 산재되어 있는 컴퓨터를 네트워크로 연결하여 정보를 처리하는 시스템이다. ||  일괄처리 시스템이란 데이터가 생성되거나 기록되는 즉시 처리하는 것으로 이 시스템의 주요한 특징은 대화식 처리 기능을 제공한다는 점이다.,,
 클라이언트/서버에 대한 설명으로 적합하지 않은 것은?,no, 클라이언트/서버는 소프트웨어 모형이 아니라 하드웨어적인 모형이다. ||  서버(Server)는 주로 정보를 제공하는 역할을 담당한다. ||  클라이언트(Client)는 서버에 정보를 요구하는 기능을 담당한다. ||  컴퓨터 사이의 기능에 따른 구분으로 여러 대의 컴퓨터가 작업을 기능별로 분산되어 처리하는 환경이다.,,
 Plug and Play 기능이란?,no, 윈도우즈에서 여러 개의 작업을 동시에 수행할 수 있게 지원하는 기능 ||  새로운 장치를 선정한 후 수동적으로 Setting만 시켜주면 사용자가 쉽게 사용할 수 있도록 하는 기능 ||  새로운 장치를 설정하면 자동적으로 감지하여 적절한 조치를 취하여 사용자가 쉽게 새로운 부품이나 주변장치를 설치할 수 있도록 지원하는 기능 ||  기존의 도스시스템보다 수행속도를 월등히 향상시키는 원도우즈의 프로그램 수행 방식,,
 다음 중 컴퓨터의 처리시간 단위가 빠른 것에서 느린 순서로 바르게 나열된 것은?,no, ps - as - fs - ns - ms - ㎲    ||  as - fs - ps - ns - ㎲ - ms ||  ms - ㎲ - ns - ps - fs - as    ||  fs - ns - ps - ㎲ - as - ms,,
 입출력 장치나 보조 기억 장치와 같은 주변장치에 데이터를 보내거나 가져오는 작업을 담당하는 장치로 주변 장치와 주기억장치 사이에 데이터를 전송하는 제어 기능을 가진 장치는?,no, 모뎀(Modem) ||  채널(Channel) ||  캐쉬(Cache) ||  버퍼(Buffer),,
 다음 중 삭제 명령 후 휴지통에서 [복원] 명령으로 파일을 되살릴 수 없는 작업은 어느 것인가?,no, A 드라이브의 디스켓 파일을 휴지통으로 드래그 하여 삭제 ||  Windows 탐색기에서 [삭제] 명령으로 C 드라이브의 파일을 삭제 ||  C 드라이브의 파일을 키보드의 [Delete]키로 삭제 ||  C 드라이브의 파일을 마우스를 이용하여 휴지통으로 드래그하여 파일을 삭제,,
 한글 Windows 98에서 도스 창에서 작업하다가 윈도우로 복귀하려면 어떤 명령을 사용 또는 입력해야 하는가?,no, Exit ||  Quit ||  [Ctrl]키 + [Esc]키 ||  [Shift]키 + [Esc]키,,
 다음 그림은 디스플레이 등록정보 그림이다. 다음 중 틀린 것은 무엇인가?,no, 더 많은 색상을 화면에 표시하기 위해서는 비트수를 늘려야 한다. ||  해상도를 낮추면 바탕화면의 아이콘들이 작아진다. ||  ‘디스플레이’라고 써 있는 부분에는 컴퓨터에서 현재 설정된 모니터와 비디오카드의 이름을 보여준다. ||  모니터와 비디오카드에 대한 세부 설정을 하기 위해서는 [고급]버튼을 누르면 된다.,,
 FAT(File Allocation Table)는 파일들이 저장되어 있는 클러스터들의 위치와 순서를 기록한 테이블로 한글 Windows 95는 FAT16이라는 파일 시스템을 사용하였으나 한글 Windows 98은 FAT32를 사용하고 있다. FAT32를 사용하였을 때 장점과 거리가 먼 것은?,no, 하드디스크의 공간 낭비를 줄일 수 있다. ||  시스템 안정성이 향상된다. ||  시스템 리소스를 최소화 할 수 있다. ||  하드디스크의 성능은 최적화되나 시스템의 전체 성능은 느려진다.,,
 다음과 같은 TCP/IP 등록정보창에서 할 수 있는 작업으로 가장 옳은 것은?,no, 컴퓨터 이름을 설정할 수 있다. ||  작업 그룹을 설정할 수 있다. ||  호스트명과 도메인명을 설정할 수 있다. ||  특정 폴더나 드라이브를 공유시킬 수 있다.,,
